threshold,pixel_precision,pixel_recall,pixel_f1,pixel_iou
0.5300000000000001,0.8776699029126214,0.32594504326704116,0.47535493869869644,0.31178072245416594
0.5400000000000001,0.8783215348312301,0.3249202975557917,0.4743593295470287,0.31092467494733783
0.5500000000000002,0.8790812648058502,0.32393350538940335,0.4734170896081205,0.31011554392849355
0.5600000000000002,0.8798037190082645,0.32323136480947323,0.472771177972688,0.3095614561183505
0.5700000000000002,0.8804477379903612,0.32241536359495976,0.4719903323934271,0.30889224224133227
0.5800000000000002,0.8813797409083814,0.32148550174586304,0.4711264374209157,0.3081526484284051
0.5900000000000002,0.8825371965544244,0.32080233793836344,0.47055712516179304,0.3076657081498198
0.6000000000000002,0.8836697247706422,0.3198724760892667,0.4697161806300595,0.3069471000637349
0.6100000000000001,0.8847225874309755,0.31924624259905876,0.4691888273765532,0.3064968663460137
0.6200000000000001,0.8855831618927046,0.31858205556398966,0.4685916849259627,0.3059874236762964
0.6300000000000001,0.8865777495501217,0.3178799149840595,0.46797038692554827,0.3054577946352049
0.6400000000000001,0.8875723925402476,0.3170069834522544,0.4671616538725059,0.3047690286798511
0.6500000000000001,0.8883024098955001,0.31617200546531044,0.4663550355483402,0.3040827873190852
0.6600000000000001,0.8889126712328768,0.3152421436162138,0.4654264260898801,0.3032936536916673
0.6700000000000002,0.8895514370131614,0.31423637467739485,0.4644164294428629,0.3024364406779661
0.6800000000000002,0.8903865854316062,0.31338241991802035,0.4635964235082745,0.3017413071680462
0.6900000000000002,0.8912996428957904,0.312604372248368,0.4628677400320324,0.3011242116808336
0.7000000000000002,0.8922282608695652,0.3115416729922575,0.4618262630809047,0.30024323780610473
0.7100000000000002,0.8931609947643979,0.31078260209503566,0.46111611667980623,0.2996432165401153
0.7200000000000002,0.8941060581185355,0.3100425079702444,0.460426383350477,0.29906097270780324
0.7300000000000002,0.895051897413367,0.30928343707302264,0.4597137014314928,0.2984599044078598
0.7400000000000002,0.8960264900662251,0.3081068771823288,0.4585404428377768,0.2974716013191645
0.7500000000000002,0.8971884877724172,0.3070252011537878,0.45749268334063825,0.2965902841429881
0.7600000000000002,0.8982182628062361,0.30613329284955215,0.4566349637681159,0.29586970875210916
0.7700000000000002,0.8994016663870715,0.305222407772886,0.45577296362940817,0.295146343701257
0.7800000000000001,0.9003874445505081,0.3042925459237893,0.45486135735054256,0.2943822287497705
0.7900000000000001,0.9013599683990745,0.3031159860330955,0.45366885837226806,0.2933840276247153
0.8000000000000002,0.9025745718498356,0.30203431000455444,0.4526091283947107,0.29249825412577646
0.8100000000000002,0.9036631914772404,0.301009564293305,0.4515936169909892,0.2916505782631879
0.8200000000000002,0.905263760811043,0.2999278882647639,0.4505737295987456,0.2908003679852806
0.8300000000000002,0.9067703831748776,0.29863746773948685,0.4493012233943841,0.28974113488235076
0.8400000000000002,0.9080893012467381,0.2971762562623349,0.44780600792096203,0.28849873804830417
0.8500000000000002,0.909414787992057,0.2954873235160164,0.4460454324099803,0.28703891459435543
0.8600000000000002,0.910715335331805,0.2940261120388644,0.44453370439971884,0.2857880660333856
0.8700000000000002,0.9119526627218935,0.29247001669955974,0.44289901718489566,0.28443821054185736
0.8800000000000002,0.9137304000476957,0.29083801427053285,0.44123278008896055,0.28306521618676467
0.8900000000000002,0.9156793167739219,0.28892136025504783,0.4392481571772716,0.28143369440644755
0.9000000000000002,0.9175733997933256,0.28645437983907696,0.43660607112383765,0.27926811218826314
0.9100000000000003,0.919079754601227,0.28429102778199483,0.43425705838019596,0.2773488845691012
0.9200000000000003,0.9217877094972067,0.28180507059359344,0.4316484027555736,0.27522425680183854
0.9300000000000002,0.9243253444046047,0.2788446940944284,0.42844021984750624,0.27262101337687156
0.9400000000000002,0.9269723834428216,0.2758084105055412,0.4251261425959781,0.26994298025668173
0.9500000000000002,0.9299284320104099,0.27123500834977987,0.4199747304087209,0.26580254030833317
